GO:0003674	F
GO:0003676	F
GO:0003774	F
GO:0003824	F
GO:0004386	F
GO:0004871	F
GO:0004872	F
GO:0005198	F
GO:0005215	F
GO:0005488	F
GO:0005515	F
GO:0005575	C
GO:0005576	C
GO:0005578	C
GO:0005615	C
GO:0005622	C
GO:0005623	C
GO:0005634	C
GO:0005694	C
GO:0005737	C
GO:0006139	P
GO:0006520	P
GO:0006810	P
GO:0006928	P
GO:0006944	P
GO:0007154	P
GO:0007275	P
GO:0007610	P
GO:0008150	P
GO:0008152	P
GO:0008219	P
GO:0008565	F
GO:0008907	F
GO:0009055	F
GO:0009056	P
GO:0009058	P
GO:0009405	P
GO:0009986	C
GO:0009987	P
GO:0015075	F
GO:0015267	F
GO:0016020	C
GO:0016209	F
GO:0016301	F
GO:0016491	F
GO:0016740	F
GO:0016787	F
GO:0016829	F
GO:0016853	F
GO:0016874	F
GO:0030154	P
GO:0030234	F
GO:0030312	C
GO:0030528	F
GO:0032501	P
GO:0043062	P
GO:0043170	P
GO:0045182	F
GO:0046903	P
GO:0050789	P
GO:0050896	P
GO:0051704	P
