fold	MAE	EVS	R2
1	0.005899602497448229	0.09156656568278643	0.09099689909905473
2	0.006786212347524207	0.03297617840766942	0.03202844383580017
3	0.005756620872235583	0.01140497907378224	0.009471508363341874
4	0.006743126219867496	0.056499718234142016	0.052915607909633344
5	0.0067206961862011135	-0.013845718998126921	-0.017421152415109553
