fold	MAE	EVS	R2
1	0.006082405301617481	0.0266832862168781	0.024396028558604232
2	0.0069709283151990755	0.029602234962224694	0.026662198814816906
3	0.005736333659358904	0.029248688818255597	0.02053537016119944
4	0.006760068623453108	0.048890953800481585	0.047580376795098855
5	0.006710937710562798	0.010462935507561166	0.006054472121860943
